Date	Year	Month	Day	INFLOW
9/27/1949	1949	9	27	14
9/28/1949	1949	9	28	13
9/29/1949	1949	9	29	13
9/30/1949	1949	9	30	17
10/1/1949	1949	10	1	23
10/2/1949	1949	10	2	18
10/3/1949	1949	10	3	14
10/4/1949	1949	10	4	13
10/5/1949	1949	10	5	13
10/6/1949	1949	10	6	13
10/7/1949	1949	10	7	12
10/8/1949	1949	10	8	14
10/9/1949	1949	10	9	14
10/10/1949	1949	10	10	14
10/11/1949	1949	10	11	13
10/12/1949	1949	10	12	11
10/13/1949	1949	10	13	11
10/14/1949	1949	10	14	11
10/15/1949	1949	10	15	12
10/16/1949	1949	10	16	20
10/17/1949	1949	10	17	20
10/18/1949	1949	10	18	16
10/19/1949	1949	10	19	14
10/20/1949	1949	10	20	13
10/21/1949	1949	10	21	12
10/22/1949	1949	10	22	13
10/23/1949	1949	10	23	16
10/24/1949	1949	10	24	15
10/25/1949	1949	10	25	14
10/26/1949	1949	10	26	51
10/27/1949	1949	10	27	60
10/28/1949	1949	10	28	34
10/29/1949	1949	10	29	27
10/30/1949	1949	10	30	24
10/31/1949	1949	10	31	40
11/1/1949	1949	11	1	62
11/2/1949	1949	11	2	39
11/3/1949	1949	11	3	30
11/4/1949	1949	11	4	28
11/5/1949	1949	11	5	27
11/6/1949	1949	11	6	24
11/7/1949	1949	11	7	23
11/8/1949	1949	11	8	22
11/9/1949	1949	11	9	21
11/10/1949	1949	11	10	20
11/11/1949	1949	11	11	20
11/12/1949	1949	11	12	20
11/13/1949	1949	11	13	20
11/14/1949	1949	11	14	36
11/15/1949	1949	11	15	50
11/16/1949	1949	11	16	35
11/17/1949	1949	11	17	29
11/18/1949	1949	11	18	25
11/19/1949	1949	11	19	24
11/20/1949	1949	11	20	24
11/21/1949	1949	11	21	26
11/22/1949	1949	11	22	24
11/23/1949	1949	11	23	18
11/24/1949	1949	11	24	20
11/25/1949	1949	11	25	22
11/26/1949	1949	11	26	28
11/27/1949	1949	11	27	16
11/28/1949	1949	11	28	24
11/29/1949	1949	11	29	31
11/30/1949	1949	11	30	76
12/1/1949	1949	12	1	59
12/2/1949	1949	12	2	40
12/3/1949	1949	12	3	37
12/4/1949	1949	12	4	23
12/5/1949	1949	12	5	35
12/6/1949	1949	12	6	28
12/7/1949	1949	12	7	22
12/8/1949	1949	12	8	27
12/9/1949	1949	12	9	22
12/10/1949	1949	12	10	20
12/11/1949	1949	12	11	21
12/12/1949	1949	12	12	28
12/13/1949	1949	12	13	470
12/14/1949	1949	12	14	240
12/15/1949	1949	12	15	100
12/16/1949	1949	12	16	59
12/17/1949	1949	12	17	55
12/18/1949	1949	12	18	70
12/19/1949	1949	12	19	88
12/20/1949	1949	12	20	75
12/21/1949	1949	12	21	66
12/22/1949	1949	12	22	67
12/23/1949	1949	12	23	80
12/24/1949	1949	12	24	106
12/25/1949	1949	12	25	57
12/26/1949	1949	12	26	70
12/27/1949	1949	12	27	229
12/28/1949	1949	12	28	374
12/29/1949	1949	12	29	230
12/30/1949	1949	12	30	100
12/31/1949	1949	12	31	75
1/1/1950	1950	1	1	85
1/2/1950	1950	1	2	86
1/3/1950	1950	1	3	98
1/4/1950	1950	1	4	140
1/5/1950	1950	1	5	128
1/6/1950	1950	1	6	227
1/7/1950	1950	1	7	729
1/8/1950	1950	1	8	260
1/9/1950	1950	1	9	155
1/10/1950	1950	1	10	235
1/11/1950	1950	1	11	640
1/12/1950	1950	1	12	297
1/13/1950	1950	1	13	234
1/14/1950	1950	1	14	335
1/15/1950	1950	1	15	270
1/16/1950	1950	1	16	245
1/17/1950	1950	1	17	185
1/18/1950	1950	1	18	165
1/19/1950	1950	1	19	125
1/20/1950	1950	1	20	90
1/21/1950	1950	1	21	81
1/22/1950	1950	1	22	96
1/23/1950	1950	1	23	114
1/24/1950	1950	1	24	129
1/25/1950	1950	1	25	176
1/26/1950	1950	1	26	390
1/27/1950	1950	1	27	415
1/28/1950	1950	1	28	205
1/29/1950	1950	1	29	238
1/30/1950	1950	1	30	266
1/31/1950	1950	1	31	165
2/1/1950	1950	2	1	170
2/2/1950	1950	2	2	155
2/3/1950	1950	2	3	135
2/4/1950	1950	2	4	124
2/5/1950	1950	2	5	112
2/6/1950	1950	2	6	104
2/7/1950	1950	2	7	116
2/8/1950	1950	2	8	75
2/9/1950	1950	2	9	160
2/10/1950	1950	2	10	360
2/11/1950	1950	2	11	240
2/12/1950	1950	2	12	180
2/13/1950	1950	2	13	145
2/14/1950	1950	2	14	125
2/15/1950	1950	2	15	125
2/16/1950	1950	2	16	140
2/17/1950	1950	2	17	130
2/18/1950	1950	2	18	115
2/19/1950	1950	2	19	110
2/20/1950	1950	2	20	80
2/21/1950	1950	2	21	82
2/22/1950	1950	2	22	95
2/23/1950	1950	2	23	100
2/24/1950	1950	2	24	98
2/25/1950	1950	2	25	96
2/26/1950	1950	2	26	92
2/27/1950	1950	2	27	90
2/28/1950	1950	2	28	86
3/1/1950	1950	3	1	84
3/2/1950	1950	3	2	79
3/3/1950	1950	3	3	75
3/4/1950	1950	3	4	70
3/5/1950	1950	3	5	70
3/6/1950	1950	3	6	77
3/7/1950	1950	3	7	73
3/8/1950	1950	3	8	94
3/9/1950	1950	3	9	700
3/10/1950	1950	3	10	410
3/11/1950	1950	3	11	320
3/12/1950	1950	3	12	275
3/13/1950	1950	3	13	230
3/14/1950	1950	3	14	195
3/15/1950	1950	3	15	175
3/16/1950	1950	3	16	160
3/17/1950	1950	3	17	150
3/18/1950	1950	3	18	145
3/19/1950	1950	3	19	130
3/20/1950	1950	3	20	140
3/21/1950	1950	3	21	170
3/22/1950	1950	3	22	145
3/23/1950	1950	3	23	376
3/24/1950	1950	3	24	433
3/25/1950	1950	3	25	340
3/26/1950	1950	3	26	375
3/27/1950	1950	3	27	410
3/28/1950	1950	3	28	710
3/29/1950	1950	3	29	1200
3/30/1950	1950	3	30	898
3/31/1950	1950	3	31	600
4/1/1950	1950	4	1	552
4/2/1950	1950	4	2	698
4/3/1950	1950	4	3	782
4/4/1950	1950	4	4	1460
4/5/1950	1950	4	5	1700
4/6/1950	1950	4	6	766
4/7/1950	1950	4	7	499
4/8/1950	1950	4	8	406
4/9/1950	1950	4	9	350
4/10/1950	1950	4	10	306
4/11/1950	1950	4	11	283
4/12/1950	1950	4	12	287
4/13/1950	1950	4	13	257
4/14/1950	1950	4	14	253
4/15/1950	1950	4	15	287
4/16/1950	1950	4	16	335
4/17/1950	1950	4	17	356
4/18/1950	1950	4	18	311
4/19/1950	1950	4	19	274
4/20/1950	1950	4	20	484
4/21/1950	1950	4	21	522
4/22/1950	1950	4	22	335
4/23/1950	1950	4	23	279
4/24/1950	1950	4	24	245
4/25/1950	1950	4	25	212
4/26/1950	1950	4	26	281
4/27/1950	1950	4	27	283
4/28/1950	1950	4	28	242
4/29/1950	1950	4	29	241
4/30/1950	1950	4	30	279
5/1/1950	1950	5	1	346
5/2/1950	1950	5	2	348
5/3/1950	1950	5	3	253
5/4/1950	1950	5	4	208
5/5/1950	1950	5	5	189
5/6/1950	1950	5	6	179
5/7/1950	1950	5	7	157
5/8/1950	1950	5	8	132
5/9/1950	1950	5	9	124
5/10/1950	1950	5	10	191
5/11/1950	1950	5	11	210
5/12/1950	1950	5	12	157
5/13/1950	1950	5	13	135
5/14/1950	1950	5	14	126
5/15/1950	1950	5	15	114
5/16/1950	1950	5	16	112
5/17/1950	1950	5	17	107
5/18/1950	1950	5	18	189
5/19/1950	1950	5	19	422
5/20/1950	1950	5	20	384
5/21/1950	1950	5	21	249
5/22/1950	1950	5	22	182
5/23/1950	1950	5	23	152
5/24/1950	1950	5	24	181
5/25/1950	1950	5	25	363
5/26/1950	1950	5	26	480
5/27/1950	1950	5	27	280
5/28/1950	1950	5	28	205
5/29/1950	1950	5	29	248
5/30/1950	1950	5	30	378
5/31/1950	1950	5	31	253
6/1/1950	1950	6	1	525
6/2/1950	1950	6	2	642
6/3/1950	1950	6	3	340
6/4/1950	1950	6	4	443
6/5/1950	1950	6	5	310
6/6/1950	1950	6	6	226
6/7/1950	1950	6	7	176
6/8/1950	1950	6	8	137
6/9/1950	1950	6	9	116
6/10/1950	1950	6	10	112
6/11/1950	1950	6	11	399
6/12/1950	1950	6	12	186
6/13/1950	1950	6	13	128
6/14/1950	1950	6	14	107
6/15/1950	1950	6	15	110
